time/h,Ecell/V,(Q-Qo)/mA.h/g
0,1.38883,0
0.0166828,1.3884,-5.56E-06
0.0167922,1.38737,-1.10E-03
0.0169439,1.38635,-2.62E-03
0.0171044,1.38533,-4.22E-03
0.0172839,1.3843,-6.02E-03
0.0175006,1.38328,-8.18E-03
0.017715,1.38225,-0.0103278
0.0179728,1.38123,-0.0129056
0.0182383,1.38021,-0.0155611
0.0185628,1.37918,-0.0188056
0.0189194,1.37816,-0.0223723
0.0193139,1.37714,-0.0263167
0.0197817,1.37611,-0.0309945
0.02031,1.37509,-0.0362779
0.0209178,1.37406,-0.0423557
0.021675,1.37304,-0.0499279
0.0225072,1.37202,-0.0582502
0.0233806,1.37099,-0.0669835
0.0243939,1.36997,-0.0771169
0.0254256,1.36895,-0.0874336
0.0265894,1.36792,-0.0990725
0.0277467,1.3669,-0.110645
0.0288939,1.36587,-0.122117
0.0302639,1.36481,-0.135817
0.0315594,1.36379,-0.148773
0.0329394,1.36272,-0.162573
0.0344106,1.3617,-0.177284
0.0358061,1.36068,-0.191239
0.0373422,1.35961,-0.206601
0.0388089,1.35855,-0.221267
0.0405022,1.35753,-0.238201
0.0420133,1.3565,-0.253312
0.0436306,1.35548,-0.269484
0.0452372,1.35445,-0.285551
0.0468811,1.35343,-0.30199
0.0485061,1.35241,-0.31824
0.0502433,1.35138,-0.335612
0.0519967,1.35036,-0.353145
0.053755,1.34933,-0.370729
0.0555494,1.34831,-0.388673
0.0573078,1.34729,-0.406257
0.059125,1.34622,-0.424429
0.0610517,1.3452,-0.443696
0.0630028,1.34418,-0.463207
0.0649067,1.34315,-0.482246
0.066805,1.34213,-0.50123
0.0687717,1.34103,-0.520896
0.0709017,1.34,-0.542196
0.0728322,1.33898,-0.561502
0.07489,1.33795,-0.58208
0.0769317,1.33693,-0.602497
0.0790117,1.33591,-0.623297
0.0811694,1.33488,-0.644875
0.0832872,1.33386,-0.666053
0.0853044,1.33284,-0.686225
0.0875344,1.33181,-0.708525
0.0897172,1.33075,-0.730353
0.0920183,1.32972,-0.753364
0.0942978,1.3287,-0.776159
0.0964394,1.32768,-0.797575
0.0986928,1.32665,-0.820109
0.101088,1.32555,-0.844059
0.103535,1.32453,-0.868531
0.105875,1.3235,-0.891931
0.108287,1.32248,-0.916048
0.110673,1.32142,-0.939909
0.113244,1.32039,-0.965626
0.115677,1.31933,-0.989948
0.118086,1.31831,-1.01404
0.120674,1.31728,-1.03993
0.123131,1.31626,-1.06449
0.125565,1.31523,-1.08883
0.128047,1.31421,-1.11365
0.130732,1.31319,-1.1405
0.133312,1.31216,-1.1663
0.135961,1.31114,-1.19279
0.138491,1.31011,-1.21809
0.141265,1.30909,-1.24583
0.143867,1.30807,-1.27185
0.146694,1.30704,-1.30013
0.149324,1.30602,-1.32643
0.152138,1.305,-1.35456
0.154866,1.30397,-1.38184
0.157714,1.30295,-1.41032
0.160474,1.30192,-1.43792
0.163311,1.3009,-1.46629
0.166222,1.29988,-1.4954
0.169127,1.29885,-1.52445
0.171883,1.29783,-1.55201
0.174893,1.2968,-1.58212
0.1779,1.29578,-1.61218
0.180809,1.29476,-1.64127
0.183916,1.29373,-1.67234
0.186884,1.29271,-1.70203
0.189921,1.29169,-1.73239
0.193053,1.29066,-1.76371
0.196089,1.2896,-1.79407
0.199403,1.28857,-1.82721
0.202513,1.28755,-1.85832
0.205717,1.28653,-1.89035
0.208878,1.2855,-1.92197
0.212139,1.28448,-1.95457
0.215306,1.28346,-1.98624
0.218542,1.28243,-2.0186
0.221871,1.28141,-2.05189
0.225334,1.28038,-2.08652
0.228652,1.27932,-2.11971
0.231975,1.2783,-2.15293
0.235622,1.27727,-2.18941
0.239031,1.27625,-2.22349
0.242318,1.27519,-2.25637
0.246194,1.27416,-2.29513
0.249592,1.27314,-2.32911
0.253146,1.27211,-2.36464
0.256817,1.27105,-2.40136
